YEAR,weighted_count,count,weighted_mean
1900,74048036,738620,5.812517120643146
1910,89641020,894699,5.617076646383542
1920,102611684.80001497,1016795,5.376877223634843
1930,119357294.14970589,1182364,5.154989731738988
1940,126283928,1311052,4.703404141816051
1950,146508886,1904786,4.292459216432784
1960,174396463,1750660,4.337639055214096
1970,197204400,1972044,4.1731056710702195
1980,220991900,2209919,3.6288203323289223
1990,241492263,2447860,3.47123949474108
2000,273604093,2740185,3.469581955413218
2006,291302804,2888839,3.3710659063892843
2011,303570428,2949717,3.3934776743141795
2016,314987139,3007847,3.3832346723210183
2021,324077352,3092079,3.350798256337271
2023,326614763,3228659,3.3270714128742553
