YEAR,n_spouse,n_child,n_parent,n_grandchild,n_other_rel,n_non_rel
1900,0.7814045594265968,2.1949051773861656,0.06609892841681948,0.07248045188308931,0.1689354234104693,0.29477116458986596
1910,0.7912892687078706,2.023125096764509,0.06838043325351162,0.06524595082280286,0.17515250479598307,0.284759432624002
1920,0.7962963127626923,1.916089070615433,0.06928667001770833,0.06196886971743325,0.17251672480040575,0.2001356765914566
1930,0.7911280189179739,1.7337187538103949,0.06896099333766179,0.06646264394715479,0.16759984191696786,0.1861328089473609
1940,0.7629173452606706,1.47112997387398,0.06476500690592245,0.0692362245115751,0.15200770974433256,0.1346614506271764
1950,0.7697573150260902,1.2247650985001044,0.06369121496974736,0.06649921061123916,0.12477639536206328,0.09277634572157131
1960,0.747190473974392,1.315974764444925,0.04858329049377331,0.049747927994384857,0.0917950769101505,0.049932847912392775
1970,0.6896971301760226,1.2335829928884854,0.03622270136682302,0.039939224290109446,0.062009822464316335,0.046752849649467895
1980,0.609312528352069,0.9483156540705804,0.025791216917407704,0.03299963336502551,0.055575647980711275,0.07455988267680816
1990,0.5568899828109422,0.8364354793373104,0.022049924313319282,0.04527834556206457,0.060213322796741874,0.10749203164091659
2000,0.5228696146718721,0.79541145098969,0.027791497328382785,0.05111224305896846,0.06520983858688385,0.12850498569812102
2006,0.497081076290509,0.7496328538296883,0.029201932449835183,0.04618476049057181,0.0691320400861073,0.12392691213390755
2011,0.48298877893487624,0.7407046118613575,0.030468099396542842,0.05428555946560466,0.06757077593795298,0.1281719647360042
2016,0.4794712769849674,0.7147927236508238,0.03476161760523632,0.055701701742564856,0.06592050836908242,0.13777551910899583
2021,0.4735431927270597,0.6956607948526348,0.04181082443061525,0.04970305821452118,0.06968397820606835,0.1448965313255307
2023,0.46766868996918565,0.6793434969958094,0.04193854756192473,0.04971592501243929,0.0722222110540764,0.1475574564551964
