"n_multifam","YEAR","weighted_count","count"
4,1900,176787,1763
2,1900,1919665,19141
5,1900,193358,1928
3,1900,497590,4962
3,1910,559369,5578
4,1910,212788,2122
2,1910,2147955,21417
5,1910,278290,2775
5,1920,180758.8,1791
3,1920,484192.19,4793
4,1920,182519.87,1812
2,1920,1999640.29999999,19783
3,1930,544304.399999991,5392
5,1930,186842.250000001,1851
2,1930,2472829.90000017,24496
4,1930,182306.100000001,1806
4,1940,146148,1513
3,1940,471047,4816
2,1940,2638161,26730
5,1940,54753,582
5,1950,48734,911
4,1950,140141,2246
3,1950,416438,5591
2,1950,2179614,24376
5,1960,27998,281
2,1960,1614462,16206
3,1960,274539,2756
4,1960,86372,867
2,1970,1782500,17825
5,1970,29400,294
3,1970,318400,3184
4,1970,103600,1036
2,1980,3941500,39415
3,1980,476800,4768
5,1980,58200,582
4,1980,136700,1367
4,1990,193401,1791
2,1990,3722884,34317
3,1990,602740,5646
5,1990,93596,892
5,2000,123016,1161
2,2000,4512116,42043
4,2000,257189,2423
3,2000,802832,7513
3,2006,736410,6048
5,2006,101126,802
2,2006,4154513,36548
4,2006,252802,1969
3,2011,809156,6739
2,2011,4327067,40124
5,2011,90979,807
4,2011,261761,2139
5,2016,121041,1130
4,2016,311703,2818
3,2016,936579,8512
2,2016,4903878,46047
5,2021,125344,1087
2,2021,4942074,44301
4,2021,312705,2562
3,2021,969290,8230
5,2023,145998,1258
2,2023,5060757,45723
4,2023,370470,2904
3,2023,1043239,8730
