seed,tot_withinss,betweenss,totss,ratio
1,30556593.63724196,40607120.36277288,71163714.00001484,0.57061552974546
2,30229951.648329187,40933762.35168566,71163714.00001484,0.5752055373568209
3,30556593.63724196,40607120.36277288,71163714.00001484,0.57061552974546
4,30556593.63724196,40607120.36277288,71163714.00001484,0.57061552974546
5,30556593.63724196,40607120.36277288,71163714.00001484,0.57061552974546
6,30680360.775633764,40483353.224381074,71163714.00001484,0.5688763408887376
7,34016352.14154589,37147361.85846895,71163714.00001484,0.5219986390600861
8,36985342.790475346,34178371.209539495,71163714.00001484,0.4802780699378951
9,30556593.63724196,40607120.36277288,71163714.00001484,0.57061552974546
10,36262753.65874507,34900960.34126977,71163714.00001484,0.4904319684785211
