YEAR,cluster_name,weighted_count,count
1900,Adult child + parents,869021,8665
1900,Extended,440982,4397
1900,Grandfamily,267456,2667
1900,Nuclear family,9390155,93630
1900,Roommates,906461,9039
1900,Single person,4304977,42926
1910,Adult child + parents,1130994,11277
1910,Extended,596503,5948
1910,Grandfamily,303562,3027
1910,Nuclear family,11486223,114528
1910,Roommates,1119454,11163
1910,Single person,5721968,57055
1920,Adult child + parents,1384343.97,13695
1920,Extended,707694.61,7008
1920,Grandfamily,343652.91,3411
1920,Nuclear family,13668464.23,135341
1920,Roommates,965215.37,9562
1920,Single person,7267487.35,71856
1930,Adult child + parents,1703509.4500000002,16875
1930,Extended,811825.5,8042
1930,Grandfamily,449021.75,4448
1930,Nuclear family,15914189.599999981,157647
1930,Roommates,1052559.65,10427
1930,Single person,9804046.49999999,97120
1940,Adult child + parents,1895371,19321
1940,Extended,805383,8407
1940,Grandfamily,542692,5991
1940,Nuclear family,17266419,176013
1940,Roommates,867401,8856
1940,Single person,13176409,131766
1950,Adult child + parents,2403282,31236
1950,Extended,784397,12691
1950,Grandfamily,678876,13834
1950,Nuclear family,20592390,267618
1950,Roommates,815521,11516
1950,Single person,18560716,106823
1960,Adult child + parents,2292051,23008
1960,Extended,685999,6886
1960,Grandfamily,612996,6154
1960,Nuclear family,25182085,252789
1960,Roommates,431837,4335
1960,Single person,23590859,236812
1970,Adult child + parents,2075900,20759
1970,Extended,542600,5426
1970,Grandfamily,542300,5423
1970,Nuclear family,28050500,280505
1970,Roommates,502900,5029
1970,Single person,31732200,317322
1980,Adult child + parents,1825800,18258
1980,Extended,651500,6515
1980,Grandfamily,558000,5580
1980,Nuclear family,30001100,300011
1980,Roommates,895200,8952
1980,Single person,46529900,465299
1990,Adult child + parents,1701074,17059
1990,Extended,832743,8107
1990,Grandfamily,906612,9420
1990,Nuclear family,30240333,313274
1990,Roommates,1409649,13600
1990,Single person,56617931,557322
2000,Adult child + parents,2371684,23109
2000,Extended,1073914,10269
2000,Grandfamily,1175004,12254
2000,Nuclear family,31302619,315582
2000,Roommates,1800648,17469
2000,Single person,67752132,676072
2006,Adult child + parents,2644961,26956
2006,Extended,1234422,10436
2006,Grandfamily,1178245,12410
2006,Nuclear family,30552396,316239
2006,Roommates,1802736,14918
2006,Single person,74202867,782369
2011,Adult child + parents,2792371,28455
2011,Extended,1210163,11095
2011,Grandfamily,1433549,16058
2011,Nuclear family,29990298,299984
2011,Roommates,1843674,15559
2011,Single person,77720544,833666
2016,Adult child + parents,3253991,31901
2016,Extended,1155642,10649
2016,Grandfamily,1547337,16522
2016,Nuclear family,29959773,298764
2016,Roommates,2112645,19214
2016,Single person,80827250,855063
2021,Adult child + parents,4109641,37694
2021,Extended,1316600,11315
2021,Grandfamily,1485578,15353
2021,Nuclear family,31266810,298109
2021,Roommates,2132657,18351
2021,Single person,87229538,900143
2023,Adult child + parents,4244808,39684
2023,Extended,1435217,12188
2023,Grandfamily,1526205,15954
2023,Nuclear family,31380719,308511
2023,Roommates,2279101,19183
2023,Single person,90459838,947451
