in_gq,YEAR,race_eth,weighted_count,count,percent
TRUE,1900,White,1809207,19284,2.728374398838536
TRUE,1900,Black,139709,1441,1.5957374510530218
TRUE,1900,AAPI,42306,423,18.05564446948261
TRUE,1900,Hispanic,14534,156,2.8435592424479577
TRUE,1910,Hispanic,37999,406,4.6731994795394565
TRUE,1910,AAPI,51339,531,18.160882945983232
TRUE,1910,White,2449863,25732,3.0234144954076516
TRUE,1910,Black,159570,1678,1.6033437811422173
TRUE,1920,AAPI,53055.30000000003,530,13.323177423867241
TRUE,1920,White,3015564.459999948,29942,3.220313103572392
TRUE,1920,Black,241238.6700000004,2398,2.30553629971988
TRUE,1920,Hispanic,85210.76999999993,841,6.652297646229778
TRUE,1930,Hispanic,89941.65000000037,891,4.128962571049034
TRUE,1930,AAPI,47199.50000000019,468,8.876152478118106
TRUE,1930,White,3512332.9499996454,34794,3.238043464175154
TRUE,1930,Black,281548.99999999715,2789,2.389618428608828
TRUE,1940,White,3532701,35370,3.071090593713007
TRUE,1940,Black,430186,4317,3.4039689100385297
TRUE,1940,AAPI,30146,302,13.410619595003382
TRUE,1940,Hispanic,59596,598,2.785340089015349
TRUE,1950,AAPI,40700,124,13.028752889053926
TRUE,1950,White,4699753,14318,3.529212545868564
TRUE,1950,Black,807654,2496,5.344542092502438
TRUE,1950,Hispanic,131964,403,4.037959833370358
TRUE,1960,Hispanic,139962,1405,2.4155930898732416
TRUE,1960,AAPI,38462,386,4.3702001029431985
TRUE,1960,White,4125118,41409,2.6936572324864314
TRUE,1960,Black,563217,5654,3.0013112222098
TRUE,1970,Hispanic,106600,1066,1.3678942640831515
TRUE,1970,White,4968600,49686,2.913559020885608
TRUE,1970,Black,655100,6551,2.9372598428021215
TRUE,1970,AAPI,51600,516,3.499491353001017
TRUE,1980,Hispanic,267200,2672,1.815192728359669
TRUE,1980,White,4528400,45284,2.508159938675146
TRUE,1980,Black,810600,8106,3.0939639839080284
TRUE,1980,AAPI,82300,823,2.2889086661475133
TRUE,1990,AAPI,148368,1249,2.126869619142285
TRUE,1990,White,4729060,38325,2.5144936734833836
TRUE,1990,Black,1215749,8508,4.175979546665661
TRUE,1990,Hispanic,475255,3602,2.175189298977619
TRUE,2000,Hispanic,723566,6992,2.0531664571975266
TRUE,2000,White,5015902,51948,2.5797529544097317
TRUE,2000,Black,1675088,15492,4.961307830371756
TRUE,2000,AAPI,210662,2113,2.0218101199916503
TRUE,2006,Hispanic,845997,8702,1.9097439613444782
TRUE,2006,AAPI,252229,2271,1.8914753911499327
TRUE,2006,White,5072249,49358,2.5600990338210337
TRUE,2006,Black,1678450,18054,4.607077208405184
TRUE,2011,Hispanic,965035,19019,1.8584398553065433
TRUE,2011,AAPI,312738,5825,2.04163315768195
TRUE,2011,Black,1763910,35210,4.617202837473497
TRUE,2011,White,4702234,96457,2.385725975218817
TRUE,2016,Hispanic,1086204,19127,1.8926794089070016
TRUE,2016,Black,1746628,30554,4.3875442163719445
TRUE,2016,White,4633121,87137,2.346042096658714
TRUE,2016,AAPI,367040,6350,2.0613183811372298
TRUE,2021,Hispanic,1014406,20305,1.6222570819922486
TRUE,2021,White,4375955,91954,2.2705105941552004
TRUE,2021,Black,1716368,34754,4.368957221653877
TRUE,2021,AAPI,342012,6343,1.7680829117008499
TRUE,2023,Hispanic,1192063,24958,1.8300741593752223
TRUE,2023,Black,1614993,34191,4.080023992160863
TRUE,2023,White,4623434,100419,2.4155846267418895
TRUE,2023,AAPI,442110,8433,2.1885459215950984
